MALS,703487034870348,1150222,1
HANA,123451234512341,1150222,107255
DIAM,032000601376001,1150223,107256
HERM,123451234512345,1150222,4
HANA,123451234512341,1150221,5
KTNS,123451234512340,1150221,6
KTNS,123451234512340,1150225,7
HERM,123451234512345,1150221,107261
HANA,123451234512341,1150223,9
DIAM,032000601376001,1150220,10
KTNS,123451234512340,1150225,11
KTNS,123451234512340,1150220,12
DIAM,032000601376001,1150223,107266
HERM,123451234512345,1150220,107267
KTNS,123451234512340,1150220,15
HANA,123451234512341,1150220,16
DIAM,032000601376001,1150221,17
HANA,123451234512341,1150220,18
JESS,123451234512346,1150221,107272
MALS,703487034870348,1150223,107273
KTNS,123451234512340,1150222,21
DIAM,032000601376001,1150222,107275
MALS,703487034870348,1150221,107276
KTNS,123451234512340,1150222,24
DIAM,032000601376001,1150225,25
HANA,123451234512341,1150220,107279
MALS,703487034870348,1150222,27
DIAM,032000601376001,1150221,107281
HANA,123451234512341,1150223,107282
HERM,123451234512345,1150223,107283
MALS,703487034870348,1150223,107284
HERM,123451234512345,1150224,107285
DIAM,032000601376001,1150223,33
KTNS,123451234512340,1150224,107287
DIAM,032000601376001,1150222,107288
HERM,123451234512345,1150223,107289
HERM,123451234512345,1150225,107290
KTNS,123451234512340,1150221,107291
JESS,123451234512346,1150221,39
HANA,123451234512341,1150224,107293
JESS,123451234512346,1150224,107294
HANA,123451234512341,1150224,107295
HERM,123451234512345,1150223,107296
KTNS,123451234512340,1150224,107297
DIAM,032000601376001,1150224,107298
DIAM,032000601376001,1150220,107299
HERM,123451234512345,1150225,47
DIAM,032000601376001,1150225,107301
KTNS,123451234512340,1150225,49
JESS,123451234512346,1150223,50
MALS,703487034870348,1150225,51
JESS,123451234512346,1150224,52
KTNS,123451234512340,1150224,107306
DIAM,032000601376001,1150224,107307
MALS,703487034870348,1150222,107308
MALS,703487034870348,1150225,56
DIAM,032000601376001,1150220,57
DIAM,032000601376001,1150222,58
DIAM,032000601376001,1150223,59
JESS,123451234512346,1150224,107313
DTV,032001402277001,1150221,107314
DIAM,032000601376001,1150222,62
MALS,703487034870348,1150222,107316
HANA,123451234512341,1150222,64
HERM,123451234512345,1150220,65
MALS,703487034870348,1150224,66
HANA,123451234512341,1150225,107320
HERM,123451234512345,1150222,68
DTV,032001402277001,1150221,69
HERM,123451234512345,1150223,107323
HERM,123451234512345,1150224,107324
DIAM,032000601376001,1150224,72
DTV,032001402277001,1150225,107326
HANA,123451234512341,1150221,107327
MALS,703487034870348,1150220,107328
JESS,123451234512346,1150224,107329
DIAM,032000601376001,1150220,107330
MALS,703487034870348,1150222,78
MALS,703487034870348,1150224,79
JESS,123451234512346,1150224,107333
KTNS,123451234512340,1150224,107334
DTV,032001402277001,1150225,107335
KTNS,123451234512340,1150220,107336
KTNS,123451234512340,1150220,84
HANA,123451234512341,1150223,107338
DIAM,032000601376001,1150223,86
HERM,123451234512345,1150220,107340
DTV,032001402277001,1150225,88
MALS,703487034870348,1150224,107342
DIAM,032000601376001,1150225,107343
KTNS,123451234512340,1150223,107344
JESS,123451234512346,1150221,92
DTV,032001402277001,1150225,93
MALS,703487034870348,1150222,94
MALS,703487034870348,1150222,95
HANA,123451234512341,1150222,96
JESS,123451234512346,1150224,107350
KTNS,123451234512340,1150224,107351
JESS,123451234512346,1150223,107352
MALS,703487034870348,1150221,107353
KTNS,123451234512340,1150222,107354
MALS,703487034870348,1150224,107355
HANA,123451234512341,1150221,107356
DTV,032001402277001,1150220,107357
KTNS,123451234512340,1150221,107358
KTNS,123451234512340,1150224,107359
HANA,123451234512341,1150224,107360
KTNS,123451234512340,1150221,107361
HERM,123451234512345,1150222,107362
JESS,123451234512346,1150224,107363
HERM,123451234512345,1150225,111
DTV,032001402277001,1150224,112
DIAM,032000601376001,1150221,107366
MALS,703487034870348,1150220,114
DIAM,032000601376001,1150222,115
KTNS,123451234512340,1150223,107369
HERM,123451234512345,1150224,107370
HANA,123451234512341,1150220,118
DTV,032001402277001,1150221,107372
DIAM,032000601376001,1150221,107373
JESS,123451234512346,1150221,107374
HANA,123451234512341,1150220,107375
HERM,123451234512345,1150225,123
KTNS,123451234512340,1150223,124
HANA,123451234512341,1150225,125
MALS,703487034870348,1150224,107379
JESS,123451234512346,1150223,127
DIAM,032000601376001,1150224,107381
KTNS,123451234512340,1150224,107382
JESS,123451234512346,1150225,130
MALS,703487034870348,1150225,131
HERM,123451234512345,1150221,107385
MALS,703487034870348,1150223,107386
JESS,123451234512346,1150223,134
DTV,032001402277001,1150223,135
HANA,123451234512341,1150223,107389
DTV,032001402277001,1150220,107390
HERM,123451234512345,1150223,107391
